[2025-11-26 16:41:45] info: 	z2m: Logging to console, file (filename: log.log)
[2025-11-26 16:41:45] info: 	z2m: Starting Zigbee2MQTT version 2.6.3 (commit #6e001b48ec278c6c141579c9eacc045f190fc289
)
[2025-11-26 16:41:45] info: 	z2m: Starting zigbee-herdsman (6.3.2)
[2025-11-26 16:41:45] info: 	zh:adapter:discovery: Matched adapter: {"path":"/dev/ttyUSB0","manufacturer":"Silicon Labs","serialNumber":"0001","pnpId":"usb-Silicon_Labs_ZiGate_0001-if00-port0","vendorId":"10c4","productId":"ea60"} => zigate: 3
[2025-11-26 16:41:45] info: 	zh:zigate: Connected to ZiGate adapter successfully.
[2025-11-26 16:41:45] error: 	z2m: Not connected to MQTT server!
[2025-11-26 16:41:45] error: 	z2m: Cannot send message: topic: 'zigbee2mqtt/bridge/state', payload: '{"state":"offline"}
[2025-11-26 16:41:45] info: 	z2m: Disconnecting from MQTT server
[2025-11-26 16:41:45] info: 	z2m: Stopping zigbee-herdsman...
[2025-11-26 16:41:45] info: 	z2m: Stopped zigbee-herdsman
[2025-11-26 16:41:45] info: 	z2m: Stopped Zigbee2MQTT
